Date, Open, High, Low, Close
09/16/21, 7428.2, 7487.6, 7428.2, 7460.2
09/15/21, 7423.5, 7431.0, 7378.9, 7417.0
09/14/21, 7423.5, 7446.0, 7388.9, 7437.3
09/13/21, 7405.8, 7436.8, 7389.4, 7425.2
09/10/21, 7376.5, 7430.0, 7376.5, 7406.6
09/09/21, 7502.3, 7503.6, 7344.3, 7369.5
09/08/21, 7520.4, 7522.2, 7476.3, 7512.0
09/07/21, 7526.5, 7536.9, 7487.8, 7530.3
09/06/21, 7521.2, 7528.5, 7440.1, 7528.5
09/03/21, 7486.0, 7539.0, 7486.0, 7522.9
09/02/21, 7497.9, 7509.6, 7437.2, 7485.7
09/01/21, 7524.8, 7527.8, 7462.2, 7527.1
08/31/21, 7507.0, 7555.9, 7507.0, 7534.9
08/30/21, 7505.7, 7528.3, 7476.0, 7504.5
08/27/21, 7487.0, 7494.5, 7465.0, 7488.3
08/26/21, 7529.2, 7529.3, 7477.8, 7491.2
08/25/21, 7507.8, 7542.4, 7507.8, 7531.9
08/24/21, 7496.4, 7524.4, 7495.6, 7503.0
08/23/21, 7474.4, 7496.3, 7463.3, 7489.9
08/20/21, 7458.3, 7512.0, 7453.6, 7460.9
08/19/21, 7469.8, 7478.8, 7429.2, 7464.6
08/18/21, 7477.9, 7532.9, 7470.5, 7502.1
08/17/21, 7579.7, 7580.6, 7494.4, 7511.0
08/16/21, 7629.0, 7629.0, 7582.5, 7582.5
08/13/21, 7585.9, 7632.8, 7585.9, 7628.9
08/12/21, 7590.0, 7608.6, 7571.5, 7588.2
08/11/21, 7574.9, 7615.1, 7572.7, 7584.3
08/10/21, 7549.4, 7576.3, 7537.1, 7562.6
08/09/21, 7537.8, 7567.0, 7532.8, 7538.4
08/06/21, 7502.8, 7538.4, 7497.3, 7538.4
08/05/21, 7498.3, 7526.4, 7493.0, 7511.1
08/04/21, 7485.6, 7509.2, 7477.6, 7503.2
08/03/21, 7495.7, 7495.9, 7455.5, 7474.5
08/02/21, 7415.9, 7506.3, 7414.9, 7491.4
07/30/21, 7423.0, 7437.7, 7387.9, 7392.6
07/29/21, 7400.5, 7418.7, 7392.5, 7417.4
07/28/21, 7425.4, 7432.4, 7368.3, 7379.3
07/27/21, 7411.4, 7447.9, 7409.5, 7431.4
07/26/21, 7407.1, 7417.6, 7389.3, 7394.3
07/23/21, 7380.5, 7398.7, 7357.0, 7394.4
07/22/21, 7330.7, 7386.4, 7330.7, 7386.4
07/21/21, 7274.6, 7354.8, 7273.9, 7308.7
07/20/21, 7261.5, 7283.1, 7205.0, 7252.2
07/19/21, 7325.0, 7325.0, 7249.2, 7286.0
07/16/21, 7330.4, 7348.1, 7316.3, 7348.1
07/15/21, 7359.8, 7365.7, 7322.9, 7335.9
07/14/21, 7328.4, 7368.5, 7326.5, 7354.7
07/13/21, 7340.6, 7382.2, 7332.1, 7332.1
07/12/21, 7299.5, 7353.4, 7299.5, 7333.5
07/09/21, 7330.3, 7330.4, 7226.0, 7273.3
07/08/21, 7338.3, 7381.9, 7327.0, 7341.4
07/07/21, 7255.5, 7332.4, 7255.5, 7326.9
07/06/21, 7321.0, 7346.2, 7261.8, 7261.8
07/05/21, 7310.5, 7343.7, 7306.7, 7315.0
07/02/21, 7273.2, 7312.3, 7271.0, 7308.6
07/01/21, 7314.7, 7317.2, 7265.6, 7265.6
06/30/21, 7307.4, 7370.1, 7307.0, 7313.0
06/29/21, 7308.0, 7308.0, 7241.5, 7301.2
06/28/21, 7309.5, 7310.6, 7273.7, 7307.3
06/25/21, 7288.3, 7325.6, 7287.6, 7308.0
06/24/21, 7303.3, 7303.8, 7256.3, 7275.3
06/23/21, 7342.7, 7344.0, 7292.9, 7298.5
06/22/21, 7258.2, 7365.9, 7258.2, 7342.2
06/21/21, 7347.1, 7347.1, 7216.6, 7235.3
06/18/21, 7347.2, 7403.2, 7334.9, 7368.9
06/17/21, 7384.5, 7384.5, 7341.9, 7359.0
06/16/21, 7373.0, 7406.2, 7372.4, 7386.2
06/15/21, 7319.5, 7398.6, 7319.0, 7379.5
06/11/21, 7305.8, 7329.7, 7274.8, 7312.3
06/10/21, 7265.6, 7314.6, 7265.6, 7302.5
06/09/21, 7300.2, 7334.9, 7270.2, 7270.2
06/08/21, 7275.2, 7315.6, 7267.6, 7292.6
06/07/21, 7305.0, 7309.4, 7269.4, 7281.9
06/04/21, 7251.2, 7300.5, 7244.3, 7295.4
06/03/21, 7221.7, 7281.8, 7221.3, 7260.1
06/02/21, 7161.9, 7218.9, 7159.8, 7217.8
